customer_id,salary,debt,age,tenure,account_balance,country,churn
C0001,108810,14592,23,8,16049,FR,1
C0002,96482,11395,59,13,2082,ES,1
C0003,37280,28657,36,16,39453,ES,1
C0004,116924,71426,48,7,29439,PT,1
C0005,61463,851,70,5,45753,IT,1
C0006,69118,13396,27,12,6338,DE,1
C0007,70082,79131,38,1,47823,IT,1
C0008,74615,10328,57,9,41198,PT,1
C0009,72400,75674,34,2,3003,FR,1
C0010,55512,13238,46,8,29714,DE,1
C0011,46319,48520,44,6,43920,DE,1
C0012,34358,79840,62,5,35005,FR,1
C0013,46417,60589,46,8,41943,PT,1
C0014,32331,30021,24,10,26290,DE,1
C0015,33675,27653,58,10,13934,IT,1
C0016,85142,18726,38,4,16162,PT,1
C0017,95644,34438,69,18,28077,PT,1
C0018,43131,66784,53,2,49530,ES,1
C0019,39371,20033,62,5,44596,IT,1
C0020,103104,61348,55,8,36256,ES,1
C0021,114166,15014,65,17,49209,DE,1
C0022,63469,56985,32,14,212,DE,1
C0023,90612,23416,54,3,40979,DE,1
C0024,51071,20032,45,5,35348,PT,1
C0025,25074,78504,42,15,1276,ES,1
C0026,65306,31385,25,7,37182,ES,1
C0027,36226,63699,26,17,8241,FR,1
C0028,46643,34741,55,19,27730,FR,1
C0029,95686,26365,67,9,26148,DE,1
C0030,40860,32493,36,2,22156,ES,1
C0031,102110,72603,36,18,14432,ES,1
C0032,55007,8834,24,10,4643,PT,1
C0033,56195,36500,64,15,14040,PT,1
C0034,99847,75525,52,7,30996,IT,1
C0035,49957,12363,28,13,23219,IT,1
C0036,32100,12899,25,12,47724,DE,1
C0037,39322,32591,34,6,35146,IT,1
C0038,85637,32742,26,14,36066,ES,1
C0039,31630,70855,22,2,49385,FR,1
C0040,53016,52565,25,5,24836,ES,1
C0041,76173,34760,51,9,27722,PT,1
C0042,49890,38890,35,1,37957,PT,1
C0043,32989,41104,25,1,38284,IT,1
C0044,45635,7455,54,2,12178,ES,1
C0045,102992,8907,65,7,26461,ES,0
C0046,100880,77924,24,19,5372,IT,1
C0047,111163,76503,58,16,20733,DE,1
C0048,56285,34814,47,4,44019,DE,1
C0049,84929,41441,70,2,610,IT,1
C0050,38104,9602,56,6,33153,DE,1
C0051,42361,45745,26,7,24217,DE,1
C0052,117214,39651,61,20,34664,ES,0
C0053,112538,72692,41,3,8800,DE,1
C0054,97512,20374,39,9,39638,FR,1
C0055,119058,44942,35,20,17300,PT,1
C0056,31658,12097,62,13,18132,ES,1
C0057,25464,43719,30,20,17167,FR,1
